Year,CoI
2000-01,USA
2000-01,Jamaica
2000-01,USA
2000-01,Canada
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Nigeria
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,United Kingdom
2000-01,USA
2000-01,USA
2000-01,Dominican Republic
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Ukraine
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,St. Vincent & Grenadines
2000-01,Belize
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Turkey
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,China
2000-01,China
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Canada
2000-01,USA
2000-01,Ukraine
2000-01,USA
2000-01,Slovenia
2000-01,Greece
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Finland
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Canada
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Croatia
2000-01,USA
2000-01,Croatia
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,France
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Mexico
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Puerto Rico
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Nigeria
2000-01,USA
2000-01,USA
2000-01,Georgia
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Serbia
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Argentina
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Nigeria
2000-01,USA
2000-01,France
2000-01,USA
2000-01,USA
2000-01,Mali
2000-01,Croatia
2000-01,USA
2000-01,Senegal
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,US Virgin Islands
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Argentina
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2023-24,Cameroon
2023-24,Slovenia
2023-24,Greece
2023-24,Canada
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Serbia
2023-24,USA
2023-24,USA
2023-24,Australia
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Finland
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Cameroon
2023-24,Japan
2023-24,USA
2023-24,Turkey
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Canada
2023-24,USA
2023-24,France
2023-24,USA
2023-24,USA
2023-24,Latvia
2023-24,USA
2023-24,USA
2023-24,Germany
2023-24,Lithuania
2023-24,USA
2023-24,USA
2023-24,Canada
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Montenegro
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Serbia
2023-24,USA
2023-24,Croatia
2023-24,USA
2023-24,DRC
2023-24,USA
2023-24,USA
2023-24,Canada
2023-24,USA
2023-24,Bahamas
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,United Kingdom
2023-24,USA
2023-24,Canada
2023-24,USA
2023-24,Israel
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Germany
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,France
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Japan
2023-24,Canada
2023-24,Canada
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Lithuania
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Bahamas
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Australia
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Poland
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Switzerland
2023-24,Croatia
2023-24,Croatia
2023-24,Bosnia and Herzegovina
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Austria
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Germany
2023-24,USA
2023-24,Spain
2023-24,USA
2023-24,USA
2023-24,Canada
2023-24,Italy
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Jamaica
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,South Sudan
2023-24,Canada
2023-24,USA
2023-24,Canada
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Canada
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Dominican Republic
2023-24,Australia
2023-24,USA
2023-24,France
2023-24,USA
2023-24,USA
2023-24,Nigeria
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Australia
2023-24,Croatia
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Canada
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Belgium
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Germany
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Canada
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,France
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Serbia
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,France
2023-24,Serbia
2023-24,Turkey
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Saint Lucia
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Australia
2023-24,USA
2023-24,Canada
2023-24,Germany
2023-24,USA
2023-24,Czech Republic
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Italy
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Latvia
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Sudan
2023-24,USA
2023-24,USA
2023-24,Angola
2023-24,USA
2023-24,Bulgaria
2023-24,USA
2023-24,Australia
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Georgia
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,France
2023-24,USA
2023-24,United Kingdom
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Nigeria
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Portugal
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,DRC
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Australia
2023-24,USA
2023-24,Canada
2023-24,USA
2023-24,Dominican Republic
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Germany
2023-24,Nigeria
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Turkey
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Australia
2023-24,USA
2023-24,France
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Serbia
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Canada
2023-24,USA
2023-24,USA
2023-24,Canada
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Australia
2023-24,Turkey
2023-24,USA
2023-24,Canada
2023-24,France
2023-24,Japan
2023-24,Canada
2023-24,South Sudan
2023-24,Brazil
2023-24,USA
2023-24,Nigeria
2023-24,USA
2023-24,France
2023-24,USA
2023-24,USA
2023-24,DRC
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Ukraine
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Croatia
2023-24,Ukraine
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,France
2023-24,USA
2023-24,Georgia
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Turkey
2023-24,Mali
2023-24,USA
2023-24,Nigeria
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Canada
2023-24,USA
2023-24,France
2023-24,Canada
2023-24,USA
2023-24,USA
2023-24,Guinea
2023-24,USA
2023-24,Serbia
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,British Virgin Islands
2023-24,Estonia
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Canada
2023-24,USA
2023-24,USA
2023-24,Italy
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Canada
2023-24,Senegal
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Ghana
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,United Kingdom
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Serbia
2023-24,France
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Canada
2023-24,France
2023-24,USA
2023-24,Greece
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Ukraine
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,France
2023-24,USA
2023-24,Senegal
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,USA
2023-24,Spain
